,poet,poem,dynasty,setiments,title,arousal
20,李贺,草暖云昏万里春|宫花拂面送行人|自言汉剑当飞去|何事还车载病身,唐,"{'holistic': '2', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '2'}",出城寄权璩、杨敬之,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}"
21,杜牧,自是寻春去校迟|不须惆怅怨芳时|狂风落尽深红色|绿叶成阴子满枝,唐,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '2', 'line4': '4'}",叹花,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '3'}"
22,刘基,东山导骑出岩阿|能使枯蒲贵绮罗|却恨卞和无禄位|中宵抱玉泪成河,明,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '1'}",题安石蒲葵图,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '5', 'line4': '5'}"
23,杨万里,芙蓉照水弄娇斜|白白红红各一家|近日司花出新巧|一枝能著两般花,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '3'}",栟楮江滨芙蓉一株发红白二色二首,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '3'}"
24,文天祥,艰难奋长戟|高义薄曾云|死为殊方鬼|三夜频梦君,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",刘监簿第一百二十九,"{'holistic': '5', 'line1': '5', 'line2': '5', 'line3': '5', 'line4': '5'}"
25,王建,夜山秋雨滴空廊|灯照堂前树叶光|对坐读书终卷后|自披衣被扫僧房,唐,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '3'}",秋夜对雨寄石瓮寺二秀才,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '1', 'line4': '2'}"
26,萨都剌,三山幕府无公事|多病郎官懒出门|老鹤唤回童子睡|石盆新雨长兰孙,元,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",石林即事,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '2'}"
27,陈岩,伯仲怡然意甚真|齐肩握手笑相亲|云阴解駮排空立|秀出人间棣萼春,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",二神峰,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '4'}"
28,宋祁,春波漫处寻他浦|晚潦清时觅故洲|使舸忽归心赏罢|后来风浪但惊鸥,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '3'}",和中丞晏尚书忆谯涡二首,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
29,刘长卿,日暮苍山远|天寒白屋贫|柴门闻犬吠|风雪夜归人,唐,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",逢雪宿芙蓉山主人,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
30,苏辙,远老陶翁好弟兄|虎溪庐阜久逢迎|何须更要经平子|清议从来贵士衡,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",子瞻与长老择师相遇于竹西石塔之间屡以绝句赠之又留书邀辙同作遂以一绝继之,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}"
31,刘克庄,事或难遥度|人殊未易知|谁云卧龙死|复有一姜维,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",录姜伯约遗言,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}"
32,耶律铸,唯有乐天知道者|祇欣欢伯意安哉|慇勤且莫相回避|著去相将醉去来,元,"{'holistic': '4', 'line1': '4', 'line2': '5', 'line3': '4', 'line4': '4'}",醉去来辞五首,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}"
33,元稹,山水万重书断绝|念君怜我梦相闻|我今因病魂颠倒|唯梦闲人不梦君,唐,"{'holistic': '1', 'line1': '2', 'line2': '2', 'line3': '1', 'line4': '1'}",酬乐天频梦微之,"{'holistic': '3', 'line1': '4', 'line2': '2', 'line3': '4', 'line4': '2'}"
34,贺铸,雏雀学翻飞|不知毛羽微|青鵳笑高树|待尔饱朝饥,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",感兴六首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
35,陈师道,城郭收灯兴未休|却回春信到台头|东风未借登临便|柳色遥看特地愁,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}",南台,"{'holistic': '2', 'line1': '4', 'line2': '3', 'line3': '2', 'line4': '1'}"
36,范成大,赏心亭上再来游|烟月迷人独自愁|行到江边无去路|却随潮水过扬州,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",吊陈叔宝词,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '3'}"
37,陆游,人能不食十二日|惟书安可一日无|唐虞虽远典谟在|病卧蓬窗时嗫嚅,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",病足昼卧梦中譫谆乃诵尚书也既觉口占绝句二首,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}"
38,陈师道,杜老秋来眼更寒|蹇馿无复逐金鞍|南邻却有新歌舞|借与诗人一面看,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '3'}",戏寇君二首,"{'holistic': '3', 'line1': '2', 'line2': '4', 'line3': '4', 'line4': '3'}"
39,金朋说,坑士焚书已促秦|前途覆辙又因循|范滂一命何须惜|可叹颠危汉室倾,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}",汉党锢,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '5'}"
40,陆游,白日悠悠喜意平|梦中历历觉魂清|觉时不落晨鸡后|静待天窗一点明,宋,"{'holistic': '3', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",睡觉,"{'holistic': '2', 'line1': '1', 'line2': '1', 'line3': '3', 'line4': '2'}"
41,屈大均,此日佳人宜换马|而君偏惹丽华来|燕裙赵带从军乐|不念闺中长绿苔,明,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '2'}",赠某弁新婚,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '2'}"
42,释行海,燕无消息雁都回|三叠阳关笛更哀|可惜梅花逢夜雨|一场春怨满苍苔,宋,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '2'}",有怀,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '1'}"
43,王维,独坐幽篁里|弹琴复长啸|深林人不知|明月来相照,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",竹里馆,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}"
44,王安石,强扶衰病牵淮舸|尚怯春风泝午潮|花与新吾如有意|山于何处不相招,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}",秦淮泛舟,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}"
45,权德舆,元礼门前劳引望|句龙坛下阻欢娱|此时对局空相忆|博进何人更乐输,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",和王祭酒太社宿斋不得赴李尚书宅会戏书见寄,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '4'}"
46,王安石,定知花发是归期|不奈归心日日归|风雪岂知行客恨|向人更作落花飞,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '1'}",遇雪,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '3'}"
47,白玉蟾,直作壶中九华看|碧于簪玉小于拳|好藏莫便令人见|恐有痴情似米颠,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '3'}",画石二首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '2'}"
48,释梵琮,绵里裹刀难近傍|饭中有药出闽乡|至今怕饮山中水|我昔曾遭蛊毒伤,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",礼密庵禅师塔,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}"
49,陆游,七十衰翁卧故山|镜中无复旧朱颜|一联轻甲流尘积|不为君王戍玉关,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '3'}",看镜二首,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '3', 'line4': '3'}"
50,张孝祥,行边使者几时回|寄我清风欲满怀|已把十诗镌乐石|为公满意落新斋,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",仲钦寄民为重斋诗和答,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}"
51,黄庭坚,一病能恼安乐性|四病长作一生愁|借问四休何所好|不令一点上眉头,宋,"{'holistic': '3', 'line1': '2', 'line2': '1', 'line3': '4', 'line4': '3'}",四休居士诗三首,"{'holistic': '2', 'line1': '4', 'line2': '1', 'line3': '3', 'line4': '3'}"
52,晁说之,董生今日窥园圃|几许伤心涕泪垂|金令不行呈木怪|无端灾异乐哀为,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}",叠前,"{'holistic': '2', 'line1': '3', 'line2': '1', 'line3': '2', 'line4': '3'}"
53,范成大,野人何苦赴官差|符使追呼挠道怀|幸有于门香积供|不如随喜去罗斋,宋,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '4', 'line4': '4'}",老陈道人自云梦被召作地上主者又常受一贵家供祝之曰他日必来吾家作儿戏赠小颂,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '2'}"
54,陆游,寒泉断藕素丝长|纹簟开瓜碧玉香|午睡觉来桐影转|无人可共北窗凉,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}",北窗,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '1'}"
55,范成大,临分满意说离愁|草草无言祇泪流|船尾竹林遮县市|故人犹自立沙头,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",发合江数里寄杨商卿诸公,"{'holistic': '1', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '2'}"
56,张籍,汉庭谁问投荒客|十载天南着白衣|秋草茫茫恶溪路|岭头遥送北人稀,唐,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}",赠李司议,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '1'}"
57,曾巩,市井萧条烟火微|两衙散后雪深时|若无一曲传金盏|争奈衰翁两鬓丝,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",席上,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '1'}"
58,夏竦,中闺正肃鸣环节|吉日爰逢采术时|亿载繁禧同圣寿|百男鸿庆茂仙枝,宋,"{'holistic': '5', 'line1': '4', 'line2': '4', 'line3': '5', 'line4': '5'}",皇后阁端午帖子,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '5'}"
59,杜牧,晓迎秋露一枝新|不占园中最上春|桃李无言又何在|向风偏笑艳阳人,唐,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",紫薇花,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '4'}"
60,宋祁,未老辞荣上所褒|官閒犹寄白云曹|海边人乐鸥先下|笼外天多鹤始高,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '3'}",闻王侍郎请老,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}"
61,王安石,白烟瀰漫接天涯|黯黯长空一道斜|有似钱塘江上望|晚潮初落见平沙,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",望淮口,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}"
62,叶梦得,僚吏相哀白事稀|抱琴时自弄清徽|何妨共倒樽中渌|不怕鸣驺问道归,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",偶书为山亭五首,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}"
63,张说,西京上相出扶阳|东郊别业好池塘|自非仁智符天赏|安能日月共回光,唐,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '4'}",奉和圣制幸韦嗣立山庄应制,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '3'}"
64,黄庭坚,光禄九男君独秀|赋名几与景仁班|淹留州县看恬默|出入风波笑险艰,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",史天休中散挽词,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '2', 'line4': '4'}"
65,陆游,刺虎腾身万目前|白袍溅血尚依然|圣时未用徵辽将|虚老龙门一少年,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",建安遣兴六首,"{'holistic': '5', 'line1': '5', 'line2': '5', 'line3': '4', 'line4': '4'}"
66,朱淑真,哭损双眸断尽肠|怕黄昏后到昏黄|更堪细雨新秋夜|一点残灯伴夜长,宋,"{'holistic': '1', 'line1': '1', 'line2': '2', 'line3': '2', 'line4': '1'}",秋夜有感,"{'holistic': '1', 'line1': '1', 'line2': '1', 'line3': '1', 'line4': '1'}"
67,连横,芷绿兰红亦可悲|一声啼鴃怨芳时|江干寂寞春馨歇|独向空山读楚词,近现代,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",啼鴃,"{'holistic': '2', 'line1': '1', 'line2': '1', 'line3': '2', 'line4': '2'}"
68,沈括,为觅少年心不得|当时感旧已潸然|情怀此日君休问|又老当时二十年,宋,"{'holistic': '1', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '2'}",叹老,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '3', 'line4': '2'}"
69,司空图,伏溜侵阶润|繁花隔竹香|娇莺方晓听|无事过南塘,唐,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '3'}",春中,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}"
70,方回,一昨悬车后|蹉跎又五年|常书乞米帖|犹费买花钱,宋,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}",偶书二首,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '3'}"
71,刘克庄,端平曾叹阙三行|淳祐重来为补亡|收拾一碑劳十载|此生凡事不须忙,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}",陈景升顷遗余化度寺碑甚佳阙后三行归自龙溪始为余补足记以绝句,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}"
72,王庭珪,风月江山何处无|良辰乐事古难俱|其间景物从来美|此美天然画不如,宋,"{'holistic': '4', 'line1': '3', 'line2': '2', 'line3': '4', 'line4': '4'}",段廷瑞四美堂,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}"
73,杨万里,一番行路一番愁|还自儿时到白头|路不唤君君自去|为谁著急不归休,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",晓行闻竹鸡二首,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '3', 'line4': '4'}"
74,方回,绿叶梢头紫粟攒|离骚经里古秋兰|时人误唤孩儿菊|惟有诗翁解细看,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",秋日古兰花十首,"{'holistic': '3', 'line1': '4', 'line2': '3', 'line3': '3', 'line4': '3'}"
75,杨万里,江梅珍重雪衣裳|薄相红梅学杏装|渠独小参黄面老|额间艳艳发金光,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",蜡梅四首,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}"
76,梅尧臣,更衣入侍宫中贵|韡韡芸黄殿后花|斗色长宜日光近|生辉尤喜盖阴斜,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",甘棠,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}"
77,曹勋,迷云公已性天开|双涧相逢若再来|二老果能如洛下|固宜慧远赋优哉,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",和钱处和大资四首,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}"
78,赵佶,佳名何拔萃|美誉占游春|三月来禽媚|嬉娱异众伦,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}",金林檎游春莺,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '4', 'line4': '5'}"
79,王彦泓,恶抱千端集夜深|同眠人已睡沉沉|梦中惊问腮边冷|却是愁人泪湿衾,明,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '2'}",不寐,"{'holistic': '1', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '1'}"
80,刘克庄,太傅品胡儿|樊川誉阿宜|既为诸父赏|焉用外人知,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",答敖茂才,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}"
81,宋祁,二山皆在眼|未忍去淮津|三宿宁无恋|况非桑下人,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",闰九月晦日登舟二首,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}"
82,王邦畿,大花红纸榜迎禧|庆赏还同十五时|闻道上元能赐福|也应先赐与穷儿,明,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '3'}",春灯曲,"{'holistic': '2', 'line1': '5', 'line2': '4', 'line3': '3', 'line4': '2'}"
83,艾性夫,冻耳萧萧天欲霜|冬深门巷意苍凉|一筇径为梅花出|独立斜阳影正长,宋,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '3'}",漫兴,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '3'}"
84,欧阳修,解榻方欣待儁英|挂帆千里忽南征|锦衣白日还家乐|鹤发高堂献寿荣,宋,"{'holistic': '5', 'line1': '4', 'line2': '3', 'line3': '5', 'line4': '5'}",送杨先辈登第还家,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '4'}"
85,范成大,绿野添花径|青春引杖藜|家人行乐处|双劝玉东西,宋,"{'holistic': '4', 'line1': '3', 'line2': '3', 'line3': '4', 'line4': '4'}",代儿童作立春贴门诗三首,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
86,赵孟僖,幸逢八秩庆生申|搦管濡毫洒翰新|十字顶头添个丿|八千岁寿迈庄椿,宋,"{'holistic': '5', 'line1': '5', 'line2': '4', 'line3': '4', 'line4': '4'}",庆侍郎,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '4', 'line4': '4'}"
87,杨万里,雨后精神退九分|病香愁态不胜春|落阶一寸轻红雪|卷地风来政恼人,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '1'}",垂丝海棠半落,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '3'}"
88,范成大,垂成穑事苦艰难|忌雨嫌风更怯寒|笺诉天公休掠剩|半偿私债半输官,宋,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '2'}",四时田园杂兴六十首,"{'holistic': '3', 'line1': '2', 'line2': '2', 'line3': '4', 'line4': '3'}"
89,王维,宿昔朱颜成暮齿|须臾白发变垂髫|一生几许伤心事|不向空门何处销,唐,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '2'}",叹白发,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '1', 'line4': '2'}"
90,范成大,五更风竹闹轩窗|听作江船浪隠床|枕上翻身寻断梦|故人待漏满鞾霜,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",宴坐庵四首,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '1'}"
